Title,Artist
Mrs. Robinson,Simon & Garfunkel
My Cherie Amour,Stevie Wonder
My Girl,The Temptations
My Hero,Foo Fighters
"New York, New York",(Jazz Standard) Frank Sinatra
New York State of Mind,Billy Joel
Night Moves,Bob Seger
Nobody Told Me,John Lennon
Nothing Compares 2 U,Prince (or Sinéad O'Connor)
Once In A Lifetime,Talking Heads
One Love/People Get Ready,Bob Marley & The Wailers
One More Cup Of Coffee,Bob Dylan
'O Sole Mio,Luciano Pavarotti
Peace of Mind,Boston
Penny Lane,The Beatles
Perfect,Ed Sheeran
Picture Book,The Kinks
Proud Mary,Creedence Clearwater Revival
Psycho Killer,Talking Heads
Pulling Mussels (From The Shell),Squeeze
Riders On The Storm,The Doors
Riptide,Vance Joy
Rock And Roll,Led Zeppelin
Rocky Raccoon,The Beatles
Romeo and Juliet,Dire Straits
Royals,Lorde
Satellite,Dave Matthews Band
Say It Ain't So,Weezer
Say My Name,Destiny's Child
Semi-Charmed Life,Third Eye Blind
Shape of You,Ed Sheeran
She's Got Everything,The Kinks
Shower The People,James Taylor
Shut Up and Dance,Walk The Moon
Silly Love Songs,Paul McCartney
Silver Bells,Bing Crosby
Single Ladies,Beyoncé
(Sittin' On) The Dock of the Bay,Otis Redding
"Sitting, Waiting, Wishing",Jack Johnson
"Signed, Sealed, Delivered I'm Yours",Stevie Wonder
So Happy Together,The Turtles
Solsbury Hill,Peter Gabriel
Something,The Beatles
Speechless,Dan + Shay
Spirit In The Sky,Norman Greenbaum
Stand By Me,Ben E. King
Starlight,Muse
Stay With Me,Sam Smith
Such Great Heights,The Postal Service
Summertime,Kenny Chesney
Superstition,Stevie Wonder
Sweet Caroline,Neil Diamond
Take It Easy,Eagles
"Take Me Home, Country Roads",John Denver
Take Me To Church,Hozier
Talking Backwards,Real Estate
Tempted,Squeeze
Territorial Pissings,Nirvana
That's Amore,(Jazz Standard) Dean Martin
That's Where It's At,Sam Cooke
The Christmas Song,Nat King Cole
The Gambler,Kenny Rogers
The Heart Of The Matter,Don Henley
The Logical Song,Supertramp
The Rain Song,Led Zeppelin
The Shadow Of Your Smile,(Jazz Standard) Frank Sinatra
The Sound of Music,Rodgers and Hammerstein
The Stranger,Billy Joel
The Summer Wind,(Jazz Standard) Frank Sinatra
The Thrill Is Gone,(Blues Standard) B.B. King
The Times They Are a-Changin',Bob Dylan
The Way You Look Tonight,(Jazz Standard) Tony Bennett
The Weight,The Band
Them Bones,Alice in Chains
They Can't Take That Away from Me,(Jazz Standard) Ella Fitzgerald
Things We Said Today,The Beatles
Thinking Out Loud,Ed Sheeran
This Feeling,Alabama Shakes
This Must Be The Place (Naive Melody),Talking Heads
Til There Was You,(Jazz Standard) The Beatles
Tiny Dancer,Elton John
Total Eclipse of the Heart,Bonnie Tyler
Touch Me,The Doors
Turn! Turn! Turn!,The Byrds
Two Of Us,The Beatles
Unchained Melody,The Righteous Brothers
Under Pressure,Queen and David Bowie
Under The Bridge,Red Hot Chili Peppers
Victoria,The Kinks
Wait,The Beatles
Walking in Memphis,Marc Cohn
We've Got A Groovy Thing Goin',Simon & Garfunkel
What a Wonderful World,(Jazz Standard) Louis Armstrong
Wheel,John Mayer
When Will I Be Loved,The Everly Brothers
While My Guitar Gently Weeps,The Beatles
White Christmas,Bing Crosby
Wild Horses,The Rolling Stones
Wild World,Cat Stevens
Will You Love Me Tomorrow,The Shirelles
Wish You Were Here,Pink Floyd
Wishlist,Pearl Jam
With A Little Help From My Friends,The Beatles
Without You,Harry Nilsson
Wonderful World,Sam Cooke
Would?,Alice In Chains
Yes,Beyoncé
You Are My Sunshine,(Traditional)
You Can't Always Get What You Want,The Rolling Stones
You Can't Do That,The Beatles
You Can't Hurry Love,The Supremes
You Don't Know How It Feels,Tom Petty & The Heartbreakers
You Don't Know Me,Ray Charles
You Make My Dreams,Hall & Oates
You May Be Right,Billy Joel
You Won't See Me,The Beatles
Young Americans,David Bowie
Your Song,Elton John
You're All I Need to Get By,Marvin Gaye and Tammi Terrell
You're My Best Friend,Queen
You're Nobody Till Somebody Loves You,(Jazz Standard) Dean Martin
You're The One That I Want,John Travolta and Olivia Newton-John
You've Got To Hide Your Love Away,The Beatles
